name,hex,l,a,b,flag
100 Mph,#c93f38,0.5666014,0.15638322,0.0802578,true
18th Century Green,#a59344,0.66294736,-0.01175864,0.10105297,false
1975 Earth Red,#7b463b,0.4547211,0.063664764,0.040732503,false
1989 Miami Hotline,#dd3366,0.59840894,0.2034477,0.031649083,false
20000 Leagues Under the Sea,#191970,0.28811884,0.0069276243,-0.14345875,true
24 Carrot,#e56e24,0.6695015,0.1138026,0.12415704,true
24 Karat,#dfc685,0.83289695,0.0010610223,0.08795929,true
3AM in Shibuya,#225577,0.43139476,-0.03771116,-0.06847194,true
3am Latte,#c0a98e,0.7477102,0.014574736,0.043557286,true
400XT Film,#d2d2c0,0.858852,-0.0070789754,0.02329725,false
5-Masted Preußen,#9bafad,0.7379943,-0.022106439,-0.0036503077,false
8 Bit Eggplant,#990066,0.45129648,0.18550114,-0.036462814,true
90% Cocoa,#3d1c02,0.26857334,0.036636263,0.05202724,false
99 Years Blue,#000099,0.30870426,-0.02216658,-0.2127592,false
A Brand New Day,#ffaabb,0.82517946,0.1011512,0.011439443,false
A Certain Shade Of Green,#d1edee,0.9260818,-0.027746737,-0.009707749,false
A Dime a Dozen,#d3dde4,0.8919984,-0.0076666474,-0.012283444,true
À L’Orange,#f2850d,0.72234535,0.09072816,0.14436182,true
A La Mode,#f6ecde,0.9471639,0.0050150156,0.020938814,false
A Lot of Love,#ffbcc5,0.8590038,0.076921165,0.013428748,false
A Mann’s Mint,#bcddb3,0.8624499,-0.0504528,0.043852746,false
A Pair of Brown Eyes,#bfaf92,0.75997037,0.005789906,0.043487668,false
A Smell of Bakery,#f3e9d9,0.9376002,0.0042532682,0.023498774,true
A State of Mint,#88ffcc,0.9164938,-0.12552023,0.03616017,true
Aaquatic Wonderland,#8bcecb,0.8058901,-0.0662798,-0.014493167,false
Aare River,#00b89f,0.70035434,-0.12850937,0.0037292242,false
Aare River Brienz,#05a3ad,0.6518673,-0.10185361,-0.042354703,false
Aarhusian Sky,#1150af,0.45353967,-0.02984032,-0.16112944,false
Abaddon Black,#231f20,0.24418955,0.006380096,0.00006610155,false
Abaidh White,#f2f1e6,0.955911,-0.0031499863,0.014257193,false
Abalone,#f8f3f6,0.9688499,0.006241232,-0.0022238493,false
Abalone Shell,#e1ded9,0.9015449,0.0012115836,0.00741601,false
Abandoned Mansion,#94877e,0.6323163,0.011216253,0.01729405,false
Abandoned Playground,#746e6a,0.54241174,0.0054065436,0.008072138,false
Abandoned Spaceship,#747a8a,0.5799807,-0.00033685565,-0.02555269,true
Abbey,#4c4f56,0.4273942,-0.00058831275,-0.012168407,false
Abbey Pink,#cd716b,0.65058565,0.10624564,0.048878282,false
Abbey Road,#a79f92,0.705576,0.0035704076,0.02042538,false
Abbey Stone,#aba798,0.72744805,-0.0017380118,0.021568,false
Abbey White,#ece6d0,0.92379844,-0.0022712946,0.029803514,false
Abbot,#4d3c2d,0.37026507,0.015557751,0.030390143,false
Abduction,#166461,0.4578188,-0.07048498,-0.013769299,false
Âbi Blue,#5ba8ff,0.7207403,-0.043426782,-0.14227349,false
Abilene Lace,#eae3d2,0.9167578,0.00073459744,0.023910165,false
Ablaze,#c04641,0.5612101,0.14202502,0.06881377,false
Abloom,#f1cbcd,0.8750737,0.041692436,0.010722101,true
Abomination,#77aa77,0.6883318,-0.07450196,0.05313921,false
Abra Cadabra,#966165,0.5510496,0.06704496,0.017512828,false
Abra Goldenrod,#eec400,0.83261293,-0.00953275,0.17025197,false
Abra Purple,#462e6e,0.3635462,0.05065444,-0.09451097,false
Absence of Light,#15151c,0.1990281,0.0036231652,-0.013461918,false
Absinthe Green,#76b583,0.7168173,-0.08429626,0.048852384,false
Absinthe Turquoise,#008a60,0.56040347,-0.11560434,0.03487557,false
Absolute Apricot,#ff9944,0.77497756,0.084917575,0.13070902,false
Absolute Zero,#0048ba,0.44404098,-0.0302203,-0.18785346,false
Abstract,#e4cb97,0.85069126,0.006186813,0.07305914,false
Abstract White,#ede9dd,0.9338598,-0.00044986606,0.016554892,false
Abundance,#629763,0.62519497,-0.0779725,0.05509782,false
Abura Green,#a19361,0.6634952,-0.005271375,0.06977457,false
Abyss,#8f9e9d,0.6870575,-0.01675412,-0.0035327077,false
Abyssal,#404c57,0.4102726,-0.009754762,-0.022002101,true
Abyssal Anchorfish Blue,#1b2632,0.26397407,-0.008890495,-0.025899976,false
